           iteration                time              height            velocity
                 223                2.23            0.781905           -0.991281
                 224                2.24            0.771992           -0.991248
                 225                2.25             0.76208           -0.991216
                 226                2.26            0.752168           -0.991183
                 227                2.27            0.742256            -0.99115
                 228                2.28            0.732344           -0.991117
                 229                2.29            0.722433           -0.991084
                 230                 2.3            0.712522           -0.991051
                 231                2.31            0.702612           -0.991018
                 232                2.32            0.692702           -0.990984
                 233                2.33            0.682792           -0.990951
                 234                2.34            0.672882           -0.990918
                 235                2.35            0.662973           -0.990885
                 236                2.36            0.653064           -0.990852
                 237                2.37            0.643156           -0.990818
                 238                2.38            0.633248           -0.990785
                 239                2.39             0.62334           -0.990752
                 240                 2.4            0.613432           -0.990718
                 241                2.41            0.603525           -0.990685
                 242                2.42            0.593618           -0.990652
                 243                2.43            0.583712           -0.990618
                 244                2.44            0.573805           -0.990585
                 245                2.45              0.5639           -0.990551
                 246                2.46            0.553994           -0.990518
                 247                2.47            0.544089           -0.990484
                 248                2.48            0.534184           -0.990451
                 249                2.49             0.52428           -0.990417
                 250                 2.5            0.514375           -0.990383
                 251                2.51            0.504472            -0.99035
                 252                2.52            0.494568           -0.990316
                 253                2.53            0.484665           -0.990282
                 254                2.54            0.474762           -0.990248
                 255                2.55             0.46486           -0.990215
                 256                2.56            0.454957           -0.990181
                 257                2.57            0.445056           -0.990147
                 258                2.58            0.435154           -0.990113
                 259                2.59            0.425253           -0.990079
                 260                 2.6            0.415352           -0.990045
                 261                2.61            0.405452           -0.990012
                 262                2.62            0.395552           -0.989978
                 263                2.63            0.385652           -0.989944
                 264                2.64            0.375752            -0.98991
                 265                2.65            0.365853           -0.989876
                 266                2.66            0.355955           -0.989841
                 267                2.67            0.346056           -0.989807
                 268                2.68            0.336158           -0.989773
                 269                2.69             0.32626           -0.989739
                 270                 2.7            0.316363           -0.989705
                 271                2.71            0.306466           -0.989671
                 272                2.72            0.296569           -0.989637
                 273                2.73            0.286673           -0.989602
                 274                2.74            0.276777           -0.989568
                 275                2.75            0.266881           -0.989534
                 276                2.76            0.256986             -0.9895
                 277                2.77            0.247091           -0.989465
                 278                2.78            0.237196           -0.989431
                 279                2.79            0.227302           -0.989397
                 280                 2.8            0.217408           -0.989362
                 281                2.81            0.207514           -0.989328
                 282                2.82            0.197621           -0.989293
                 283                2.83            0.187728           -0.989259
                 284                2.84            0.177835           -0.989224
                 285                2.85            0.167943            -0.98919
                 286                2.86            0.158051           -0.989155
                 287                2.87             0.14816           -0.989121
                 288                2.88            0.138269           -0.989086
                 289                2.89            0.128378           -0.989052
                 290                 2.9            0.118487           -0.989017
                 291                2.91            0.108597           -0.988982
                 292                2.92           0.0987072           -0.988948
                 293                2.93           0.0888177           -0.988913
                 294                2.94           0.0789286           -0.988879
                 295                2.95           0.0690398           -0.988844
                 296                2.96           0.0591513           -0.988809
                 297                2.97           0.0492632           -0.988774
                 298                2.98           0.0393755            -0.98874
                 299                2.99           0.0294881           -0.988705
                 300                   3           0.0196011            -0.98867
                 301                3.01          0.00971435           -0.988635
                 302                3.02        -0.000172001           -0.988601
                 303                3.03           -0.010058           -0.988566
                 304                3.04          -0.0199437           -0.988531
                 305                3.05           -0.029829           -0.988496
                 306                3.06          -0.0397139           -0.988461
                 307                3.07          -0.0495985           -0.988426
                 308                3.08          -0.0594828           -0.988391
                 309                3.09          -0.0693667           -0.988356
                 310                 3.1          -0.0792503           -0.988322
                 311                3.11          -0.0891335           -0.988287
                 312                3.12          -0.0990164           -0.988252
                 313                3.13           -0.108899           -0.988217
                 314                3.14           -0.118781           -0.988182
                 315                3.15           -0.128663           -0.988147
                 316                3.16           -0.138544           -0.988112
                 317                3.17           -0.148425           -0.988077
                 318                3.18           -0.158306           -0.988042
                 319                3.19           -0.168187           -0.988007
                 320                 3.2           -0.178067           -0.987972
                 321                3.21           -0.187946           -0.987936
                 322                3.22           -0.197826           -0.987901
                 323                3.23           -0.207705           -0.987866
                 324                3.24           -0.217583           -0.987831
                 325                3.25           -0.227462           -0.987796
                 326                3.26            -0.23734           -0.987761
                 327                3.27           -0.247217           -0.987726
                 328                3.28           -0.257095           -0.987691
                 329                3.29           -0.266972           -0.987656
                 330                 3.3           -0.276848            -0.98762
                 331                3.31           -0.286724           -0.987585
                 332                3.32             -0.2966            -0.98755
                 333                3.33           -0.306476           -0.987515
                 334                3.34           -0.316351            -0.98748
                 335                3.35           -0.326226           -0.987445
                 336                3.36             -0.3361           -0.987409
                 337                3.37           -0.345974           -0.987374
                 338                3.38           -0.355848           -0.987339
                 339                3.39           -0.365721           -0.987304
                 340                 3.4           -0.375594           -0.987268
                 341                3.41           -0.385467           -0.987233
                 342                3.42           -0.395339           -0.987198
                 343                3.43           -0.405211           -0.987163
                 344                3.44           -0.415083           -0.987128
                 345                3.45           -0.424954           -0.987092
                 346                3.46           -0.434825           -0.987057
                 347                3.47           -0.444696           -0.987022
                 348                3.48           -0.454566           -0.986987
                 349                3.49           -0.464436           -0.986951
                 350                 3.5           -0.474305           -0.986916
                 351                3.51           -0.484174           -0.986881
                 352                3.52           -0.494043           -0.986845
                 353                3.53           -0.503912            -0.98681
                 354                3.54            -0.51378           -0.986775
                 355                3.55           -0.523648            -0.98674
                 356                3.56           -0.533515           -0.986704
                 357                3.57           -0.543382           -0.986669
                 358                3.58           -0.553249           -0.986634
                 359                3.59           -0.563115           -0.986599
                 360                 3.6           -0.572981           -0.986563
                 361                3.61           -0.582847           -0.986528
                 362                3.62           -0.592712           -0.986493
                 363                3.63           -0.602577           -0.986458
                 364                3.64           -0.612441           -0.986422
                 365                3.65           -0.622306           -0.986387
                 366                3.66            -0.63217           -0.986352
                 367                3.67           -0.642033           -0.986317
                 368                3.68           -0.651896           -0.986281
                 369                3.69           -0.661759           -0.986246
                 370                 3.7           -0.671621           -0.986211
                 371                3.71           -0.681484           -0.986176
                 372                3.72           -0.691345            -0.98614
                 373                3.73           -0.701207           -0.986105
                 374                3.74           -0.711068            -0.98607
                 375                3.75           -0.720928           -0.986035
                 376                3.76           -0.730789              -0.986
                 377                3.77           -0.740649           -0.985964
                 378                3.78           -0.750508           -0.985929
                 379                3.79           -0.760368           -0.985894
                 380                 3.8           -0.770227           -0.985859
                 381                3.81           -0.780085           -0.985824
                 382                3.82           -0.789944           -0.985789
                 383                3.83           -0.799801           -0.985754
                 384                3.84           -0.809659           -0.985718
                 385                3.85           -0.819516           -0.985683
                 386                3.86           -0.829373           -0.985648
                 387                3.87           -0.839229           -0.985613
                 388                3.88           -0.849086           -0.985578
                 389                3.89           -0.858941           -0.985543
                 390                 3.9           -0.868797           -0.985508
                 391                3.91           -0.878652           -0.985473
                 392                3.92           -0.888507           -0.985438
                 393                3.93           -0.898361           -0.985403
                 394                3.94           -0.908215           -0.985368
                 395                3.95           -0.918069           -0.985333
                 396                3.96           -0.927922           -0.985298
                 397                3.97           -0.937775           -0.985263
                 398                3.98           -0.947628           -0.985228
                 399                3.99            -0.95748           -0.985193
                 400                   4           -0.967332           -0.985158
                 401                4.01           -0.977183           -0.985123
                 402                4.02           -0.987035           -0.985088
                 403                4.03           -0.996886           -0.985053
                 404                4.04            -1.00674           -0.985019
                 405                4.05            -1.01659           -0.984984
                 406                4.06            -1.02644           -0.984949
                 407                4.07            -1.03629           -0.984914
                 408                4.08            -1.04613           -0.984879
                 409                4.09            -1.05598           -0.984845
                 410                 4.1            -1.06583            -0.98481
                 411                4.11            -1.07568           -0.984775
                 412                4.12            -1.08553            -0.98474
                 413                4.13            -1.09538           -0.984706
                 414                4.14            -1.10522           -0.984671
                 415                4.15            -1.11507           -0.984636
                 416                4.16            -1.12492           -0.984602
                 417                4.17            -1.13476           -0.984567
                 418                4.18            -1.14461           -0.984533
                 419                4.19            -1.15445           -0.984498
                 420                 4.2             -1.1643           -0.984464
                 421                4.21            -1.17414           -0.984429
                 422                4.22            -1.18399           -0.984395
                 423                4.23            -1.19383            -0.98436
                 424                4.24            -1.20367           -0.984326
                 425                4.25            -1.21352           -0.984291
                 426                4.26            -1.22336           -0.984257
                 427                4.27             -1.2332           -0.984223
                 428                4.28            -1.24304           -0.984188
                 429                4.29            -1.25289           -0.984154
                 430                 4.3            -1.26273            -0.98412
                 431                4.31            -1.27257           -0.984085
                 432                4.32            -1.28241           -0.984051
                 433                4.33            -1.29225           -0.984017
                 434                4.34            -1.30209           -0.983983
                 435                4.35            -1.31193           -0.983949
                 436                4.36            -1.32177           -0.983915
                 437                4.37            -1.33161           -0.983881
                 438                4.38            -1.34145           -0.983846
                 439                4.39            -1.35129           -0.983812
                 440                 4.4            -1.36112           -0.983778
                 441                4.41            -1.37096           -0.983745
                 442                4.42             -1.3808           -0.983711
                 443                4.43            -1.39064           -0.983677
                 444                4.44            -1.40047           -0.983643
                 445                4.45            -1.41031           -0.983609
                 446                4.46            -1.42015           -0.983575
                 447                4.47            -1.42998           -0.983541
                 448                4.48            -1.43982           -0.983508
                 449                4.49            -1.44965           -0.983474
                 450                 4.5            -1.45949            -0.98344
                 451                4.51            -1.46932           -0.983407
                 452                4.52            -1.47916           -0.983373
                 453                4.53            -1.48899            -0.98334
                 454                4.54            -1.49882           -0.983306
                 455                4.55            -1.50866           -0.983273
                 456                4.56            -1.51849           -0.983239
                 457                4.57            -1.52832           -0.983206
                 458                4.58            -1.53815           -0.983172
                 459                4.59            -1.54798           -0.983139
                 460                 4.6            -1.55782           -0.983106
                 461                4.61            -1.56765           -0.983072
                 462                4.62            -1.57748           -0.983039
                 463                4.63            -1.58731           -0.983006
                 464                4.64            -1.59714           -0.982973
                 465                4.65            -1.60697            -0.98294
                 466                4.66             -1.6168           -0.982907
                 467                4.67            -1.62663           -0.982874
                 468                4.68            -1.63646           -0.982841
                 469                4.69            -1.64628           -0.982808
                 470                 4.7            -1.65611           -0.982775
                 471                4.71            -1.66594           -0.982742
                 472                4.72            -1.67577           -0.982709
                 473                4.73            -1.68559           -0.982676
                 474                4.74            -1.69542           -0.982644
                 475                4.75            -1.70525           -0.982611
                 476                4.76            -1.71507           -0.982578
                 477                4.77             -1.7249           -0.982546
                 478                4.78            -1.73472           -0.982513
                 479                4.79            -1.74455           -0.982481
                 480                 4.8            -1.75437           -0.982448
                 481                4.81             -1.7642           -0.982416
                 482                4.82            -1.77402           -0.982383
                 483                4.83            -1.78385           -0.982351
                 484                4.84            -1.79367           -0.982319
                 485                4.85            -1.80349           -0.982287
                 486                4.86            -1.81332           -0.982254
                 487                4.87            -1.82314           -0.982222
                 488                4.88            -1.83296            -0.98219
                 489                4.89            -1.84278           -0.982158
                 490                 4.9            -1.85261           -0.982126
                 491                4.91            -1.86243           -0.982094
                 492                4.92            -1.87225           -0.982062
                 493                4.93            -1.88207            -0.98203
                 494                4.94            -1.89189           -0.981999
                 495                4.95            -1.90171           -0.981967
                 496                4.96            -1.91153           -0.981935
                 497                4.97            -1.92135           -0.981903
                 498                4.98            -1.93117           -0.981872
                 499                4.99            -1.94098            -0.98184
